ticker symbol	DBMS	db type	total ms	start time	end time	host name	no. cores	operating system	total DDL ms	drop constr. ms	add constr. ms	total DML ms
mimer	Mimer SQL	client	17286	2021-08-03 09:05:12.105736560	2021-08-03 09:05:29.392148019	ubuntu	8	amd64 / Linux / 5.8.0-63-generic	497	0	0	16789
monetdb	MonetDB	client	8821	2021-08-03 09:05:36.001709459	2021-08-03 09:05:44.823464267	ubuntu	8	amd64 / Linux / 5.8.0-63-generic	758	0	0	8063
mysql	MySQL Database	client	4717	2021-08-03 09:06:47.346618827	2021-08-03 09:06:52.064050719	ubuntu	8	amd64 / Linux / 5.8.0-63-generic	500	0	0	4217
mysql_trino	MySQL Database	trino	797904	2021-08-03 09:12:35.566080512	2021-08-03 09:25:53.471012492	ubuntu	8	amd64 / Linux / 5.8.0-63-generic	996	0	0	796908
omnisci	OmniSciDB	client	5104	2021-08-03 09:34:53.962524248	2021-08-03 09:34:59.067360969	ubuntu	8	amd64 / Linux / 5.8.0-63-generic	1328	0	0	3776
oracle	Oracle Database	client	5371	2021-08-03 09:37:10.741763736	2021-08-03 09:37:16.113450635	ubuntu	8	amd64 / Linux / 5.8.0-63-generic	838	0	0	4533
oracle_trino	Oracle Database	trino	1047608	2021-08-03 09:39:59.421122490	2021-08-03 09:57:27.029421133	ubuntu	8	amd64 / Linux / 5.8.0-63-generic	703	0	0	1046905
percona	Percona Server for MySQL	client	4823	2021-08-03 09:58:38.777418311	2021-08-03 09:58:43.601041912	ubuntu	8	amd64 / Linux / 5.8.0-63-generic	477	0	0	4346
postgresql	PostgreSQL	client	3863	2021-08-03 09:59:16.604520339	2021-08-03 09:59:20.468290208	ubuntu	8	amd64 / Linux / 5.8.0-63-generic	368	0	0	3495
postgresql_trino	PostgreSQL	trino	579663	2021-08-03 10:00:23.600510672	2021-08-03 10:10:03.264336197	ubuntu	8	amd64 / Linux / 5.8.0-63-generic	415	0	0	579248
sqlite	SQLite	embedded	2110	2021-08-03 10:10:03.857600821	2021-08-03 10:10:05.968345856	ubuntu	8	amd64 / Linux / 5.8.0-63-generic	321	0	0	1789
sqlserver	MS SQL Server	client	4010	2021-08-03 10:10:37.691258360	2021-08-03 10:10:41.702095761	ubuntu	8	amd64 / Linux / 5.8.0-63-generic	742	0	0	3268
sqlserver_trino	MS SQL Server	trino	964813	2021-08-03 10:11:50.392703629	2021-08-03 10:27:55.206678282	ubuntu	8	amd64 / Linux / 5.8.0-63-generic	707	0	0	964106
timescale	TimescaleDB	client	3827	2021-08-03 10:28:32.675649132	2021-08-03 10:28:36.503619400	ubuntu	8	amd64 / Linux / 5.8.0-63-generic	388	0	0	3439
voltdb	VoltDB	client	15383	2021-08-03 10:28:57.994293503	2021-08-03 10:29:13.378000917	ubuntu	8	amd64 / Linux / 5.8.0-63-generic	3780	0	0	11603
yugabyte	YugabyteDB	client	12952	2021-08-03 10:29:45.484344768	2021-08-03 10:29:58.437301945	ubuntu	8	amd64 / Linux / 5.8.0-63-generic	4003	0	0	8949
