ticker symbol	DBMS	db type	total ms	start time	end time	host name	no. cores	operating system	total DDL ms	drop constr. ms	add constr. ms	total DML ms	constraints
hsqldb	HSQLDB	client	6671	2022-12-22 10:24:53.966546770	2022-12-22 10:25:00.637964783	ubuntu	8	amd64 / Linux / 5.15.0-56-generic	577	0	0	6094	active
hsqldb_emb	HSQLDB	embedded	2840	2022-12-22 10:25:03.939061460	2022-12-22 10:25:06.779244411	ubuntu	8	amd64 / Linux / 5.15.0-56-generic	526	0	0	2314	active
ibmdb2	IBM Db2 Database	client	6209	2022-12-22 10:30:45.016219699	2022-12-22 10:30:51.225501355	ubuntu	8	amd64 / Linux / 5.15.0-56-generic	1563	0	0	4646	active
informix	IBM Informix	client	10445	2022-12-22 10:35:11.127562330	2022-12-22 10:35:21.573310792	ubuntu	8	amd64 / Linux / 5.15.0-56-generic	676	0	0	9769	active
mariadb	MariaDB Server	client	2861	2022-12-22 10:36:12.289028749	2022-12-22 10:36:15.151023623	ubuntu	8	amd64 / Linux / 5.15.0-56-generic	521	0	0	2340	active
mimer	Mimer SQL	client	267793	2022-12-22 10:36:55.430300019	2022-12-22 10:41:23.223743583	ubuntu	8	amd64 / Linux / 5.15.0-56-generic	1477	0	0	266316	active
mysql	MySQL Database	client	5112	2022-12-22 10:42:52.628252785	2022-12-22 10:42:57.740721467	ubuntu	8	amd64 / Linux / 5.15.0-56-generic	614	0	0	4498	active
mysql_trino	MySQL Database	trino	520009	2022-12-22 10:45:05.848196886	2022-12-22 10:53:45.857521035	ubuntu	8	amd64 / Linux / 5.15.0-56-generic	1459	0	0	518550	active - no choice
oracle	Oracle Database	client	5904	2022-12-22 10:57:56.774968475	2022-12-22 10:58:02.679587696	ubuntu	8	amd64 / Linux / 5.15.0-56-generic	1086	0	0	4818	active
oracle_trino	Oracle Database	trino	480255	2022-12-22 11:03:02.603072509	2022-12-22 11:11:02.858686177	ubuntu	8	amd64 / Linux / 5.15.0-56-generic	1171	0	0	479084	active - no choice
percona	Percona Server for MySQL	client	5208	2022-12-22 11:12:20.904168931	2022-12-22 11:12:26.112379781	ubuntu	8	amd64 / Linux / 5.15.0-56-generic	648	0	0	4560	active
postgresql	PostgreSQL	client	3897	2022-12-22 11:13:07.021040708	2022-12-22 11:13:10.918066593	ubuntu	8	amd64 / Linux / 5.15.0-56-generic	590	0	0	3307	active
postgresql_trino	PostgreSQL	trino	589429	2022-12-22 11:14:50.042218329	2022-12-22 11:24:39.472122285	ubuntu	8	amd64 / Linux / 5.15.0-56-generic	686	0	0	588743	active - no choice
sqlite	SQLite	embedded	4915	2022-12-22 11:24:43.143165525	2022-12-22 11:24:48.058645931	ubuntu	8	amd64 / Linux / 5.15.0-56-generic	384	0	0	4531	active - no choice
sqlserver	MS SQL Server	client	4436	2022-12-22 11:25:37.170750480	2022-12-22 11:25:41.607654185	ubuntu	8	amd64 / Linux / 5.15.0-56-generic	850	0	0	3586	active
sqlserver_trino	MS SQL Server	trino	662880	2022-12-22 11:27:21.075217211	2022-12-22 11:38:23.955306058	ubuntu	8	amd64 / Linux / 5.15.0-56-generic	967	0	0	661913	active - no choice
timescale	TimescaleDB	client	4053	2022-12-22 11:39:06.068551683	2022-12-22 11:39:10.121775459	ubuntu	8	amd64 / Linux / 5.15.0-56-generic	651	0	0	3402	active
yugabyte	YugabyteDB	client	12863	2022-12-22 11:40:34.925353287	2022-12-22 11:40:47.789290605	ubuntu	8	amd64 / Linux / 5.15.0-56-generic	4498	0	0	8365	active
agens	AgensGraph	client	3698	2022-12-22 11:41:25.514642946	2022-12-22 11:41:29.212810339	ubuntu	8	amd64 / Linux / 5.15.0-56-generic	554	0	94	3144	inactive
cockroach	CockroachDB	client	7481	2022-12-22 11:42:09.973779835	2022-12-22 11:42:17.455272734	ubuntu	8	amd64 / Linux / 5.15.0-56-generic	1188	0	452	6293	inactive
