ticker symbol	DBMS	version	creator	db type	constraints	schema	total ms	start time	end time	host name	no. cores	operating system	file_name
mysql	MySQL Database	v3.0.3	bash	client	inactive	company	18638	2021-09-10 14:28:53.054364300	2021-09-10 14:29:11.693074700	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	db_seeder_bash_complete_company_3.0.3_wsl2
oracle	Oracle Database	v3.0.3	bash	client	inactive	company	15614	2021-09-10 14:30:15.865113000	2021-09-10 14:30:31.480086200	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	db_seeder_bash_complete_company_3.0.3_wsl2
percona	Percona Server for MySQL	v3.0.3	bash	client	inactive	company	18334	2021-09-10 14:31:40.842177000	2021-09-10 14:31:59.176283200	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	db_seeder_bash_complete_company_3.0.3_wsl2
postgresql	PostgreSQL	v3.0.3	bash	client	inactive	company	4008	2021-09-10 14:32:33.035066600	2021-09-10 14:32:37.043404200	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	db_seeder_bash_complete_company_3.0.3_wsl2
sqlserver	MS SQL Server	v3.0.3	bash	client	inactive	company	4606	2021-09-10 14:33:10.113906700	2021-09-10 14:33:14.720200300	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	db_seeder_bash_complete_company_3.0.3_wsl2
timescale	TimescaleDB	v3.0.3	bash	client	inactive	company	3996	2021-09-10 14:33:54.005156400	2021-09-10 14:33:58.001578300	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	db_seeder_bash_complete_company_3.0.3_wsl2
yugabyte	YugabyteDB	v3.0.3	bash	client	inactive	company	13343	2021-09-10 14:34:30.889880700	2021-09-10 14:34:44.233694200	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	db_seeder_bash_complete_company_3.0.3_wsl2
agens	AgensGraph	v3.0.4	bash	client	active	company	4446	2021-10-29 08:33:53.136135427	2021-10-29 08:33:57.582378084	ubuntu	8	amd64 / Linux / 5.11.0-38-generic	db_seeder_bash_complete_company_3.0.4_vmware
cockroach	CockroachDB	v3.0.4	bash	client	active - no choice	company	6607	2021-10-29 08:34:37.149604452	2021-10-29 08:34:43.757180807	ubuntu	8	amd64 / Linux / 5.11.0-38-generic	db_seeder_bash_complete_company_3.0.4_vmware
cratedb	CrateDB	v3.0.4	bash	client	active - no choice	company	6052	2021-10-29 08:35:30.580081318	2021-10-29 08:35:36.632207398	ubuntu	8	amd64 / Linux / 5.11.0-38-generic	db_seeder_bash_complete_company_3.0.4_vmware
cubrid	CUBRID	v3.0.4	bash	client	active	company	7957	2021-10-29 08:36:17.534153202	2021-10-29 08:36:25.491260334	ubuntu	8	amd64 / Linux / 5.11.0-38-generic	db_seeder_bash_complete_company_3.0.4_vmware
derby	Apache Derby	v3.0.4	bash	client	active	company	6464	2021-10-29 08:37:19.886281693	2021-10-29 08:37:26.350719497	ubuntu	8	amd64 / Linux / 5.11.0-38-generic	db_seeder_bash_complete_company_3.0.4_vmware
derby_emb	Apache Derby	v3.0.4	bash	embedded	active	company	6446	2021-10-29 08:37:26.941343000	2021-10-29 08:37:33.387529959	ubuntu	8	amd64 / Linux / 5.11.0-38-generic	db_seeder_bash_complete_company_3.0.4_vmware
exasol	Exasol	v3.0.4	bash	client	active	company	3738	2021-10-29 08:41:21.588196317	2021-10-29 08:41:25.326854286	ubuntu	8	amd64 / Linux / 5.11.0-38-generic	db_seeder_bash_complete_company_3.0.4_vmware
firebird	Firebird	v3.0.4	bash	client	active	company	19869	2021-10-29 08:42:15.614265196	2021-10-29 08:42:35.484176278	ubuntu	8	amd64 / Linux / 5.11.0-38-generic	db_seeder_bash_complete_company_3.0.4_vmware
